M=MODULE	module_enabled	module_name
S=SUBJECT	subject_enabled	subject_name	subject_description
Q=QUESTION	question_enabled	question_description	question_explanation	question_type	question_difficulty	question_position	question_timer	question_fullscreen	question_inline_answers	question_auto_next
A=ANSWER	answer_enabled	answer_description	answer_explanation	answer_isright	answer_position	answer_keyboard_key

M	1	default
M	1	Entry Exam
S	1	CURRENT AFFAIRS	"In each of the following questions, Select the correct answer."
Q	1	____________________ is the senate president between 1992 - 1993		M	1		0	0	0	0
A	1	Dr iyorchia ayu		1		
A	1	Chief anyim pius anyim		0		
A	1	Ken nnamani		0		
A	1	Dr chuba okadigbo		0		
A	1	Dr joseph wayan		0		
Q	1	"Before you can have the national identity card, you must have attained the age of ______________"		M	1		0	0	0	0
A	1	18 years		1		
A	1	28 years		0		
A	1	38 years		0		
A	1	48 years		0		
A	1	58 years		0		
Q	1	1000 naira note was launched on		M	1		0	0	0	0
A	1	12th October 2005		1		
A	1	14th October 2004		0		
A	1	12th October 2006		0		
A	1	13th October 2005		0		
A	1	10th October 2004		0		
Q	1	A democratic government is always formed by		M	1		0	0	0	0
A	1	Election		1		
A	1	Appointment		0		
A	1	Consensus		0		
A	1	Conferment		0		
A	1	Nomination		0		
Q	1	A Nigeria _______________________ emerged a world heavy weight champion in boxing		M	1		0	0	0	0
A	1	Samuel peter		1		
A	1	Tunde adabi		0		
A	1	Kanu nwakwo		0		
A	1	Peter obi		0		
A	1	Ifeouwa opeyemi		0		
Q	1	Alhaji umaru musa yaradua became the civilian president of Nigeria on ______________________		M	1		0	0	0	0
A	1	May 29 2007		1		
A	1	June 12 2003		0		
A	1	May 29 1999		0		
A	1	May 29 2003		0		
A	1	May 27 2007		0		
Q	1	Cedi is to ghana as ____________________ is to south africa		M	1		0	0	0	0
A	1	Rand		1		
A	1	Naira		0		
A	1	Dollar		0		
A	1	Pans		0		
A	1	Yen		0		
Q	1	How many stanzas are in the national anthem?		M	1		0	0	0	0
A	1	Two		1		
A	1	One		0		
A	1	Three		0		
A	1	Four		0		
A	1	Five		0		
Q	1	Jigawa state is _____________________________ as nassarawa is ______________________		M	1		0	0	0	0
A	1	The new world and home of solid minerals		1		
A	1	God's own state and land of equity		0		
A	1	The new world and the big hear		0		
A	1	Pride of the nation and the new world		0		
A	1	Farming is our pride and salt of the nation		0		
Q	1	Nigeria change from left hand drive on __________________________________		M	1		0	0	0	0
A	1	April 2nd 1972		1		
A	1	Oct 1st 1963		0		
A	1	Jan 1st 1973		0		
A	1	Feb 5th 1976		0		
A	1	Oct 1st 1960		0		
Q	1	One of these is not a continent __________________________		M	1		0	0	0	0
A	1	Uganda		1		
A	1	Asia		0		
A	1	Australia		0		
A	1	North america		0		
A	1	Africa		0		
Q	1	Slave trade was abolished in ______________________________		M	1		0	0	0	0
A	1	1838		1		
A	1	1954		0		
A	1	1809		0		
A	1	2004		0		
A	1	2014		0		
Q	1	The black shield of the coat of arms symbolizes _____________________________		M	1		0	0	0	0
A	1	Fertile soil		1		
A	1	Beauty		0		
A	1	Dignity		0		
A	1	Strength		0		
A	1	River niger and river benue		0		
Q	1	The chief justice of Nigeria supreme court between 2006 - 2007 is ______________________		M	1		0	0	0	0
A	1	Salihu m.alfa belgore		1		
A	1	Ademola adetokunbo		0		
A	1	Dahine mustaphar		0		
A	1	Aloysius katsina-alu		0		
A	1	Aloma muktar		0		
Q	1	The death of the first lady of Nigeria mrs stella obanjo occurred on ___________________ 2005		M	1		0	0	0	0
A	1	23rd oct.		1		
A	1	21st oct.		0		
A	1	22nd oct.		0		
A	1	24th oct.		0		
A	1	25th Feb.		0		
Q	1	The efik are found in the following states _______________________________		M	1		0	0	0	0
A	1	Cross rivers		1		
A	1	Adamawa		0		
A	1	Benue		0		
A	1	Delta		0		
A	1	Rivers		0		
Q	1	The famous sokoto caliphate was established by ___________________________________		M	1		0	0	0	0
A	1	Usman danfodio		1		
A	1	Ahmadu bello		0		
A	1	Mohammadu bello		0		
A	1	Nana asama'u 		0		
A	1	Abubarka tafawa balewa		0		
