M=MODULE	module_enabled	module_name
S=SUBJECT	subject_enabled	subject_name	subject_description
Q=QUESTION	question_enabled	question_description	question_explanation	question_type	question_difficulty	question_position	question_timer	question_fullscreen	question_inline_answers	question_auto_next
A=ANSWER	answer_enabled	answer_description	answer_explanation	answer_isright	answer_position	answer_keyboard_key

M	1	ECONOMICS
S	1	ECONOMICS	
Q	1	A characteristic of a debenture is that		S	1		0	0	0	0
A	1	There is a voting when interest is paid (e) Its interest is variable.		1		
A	1	Its yield is based on profits 		0		
A	1	Its yield is a fixed rate of interest		0		
A	1	 It has no redemption date		0		
Q	1	A demand curve which is parallel to the horizontal axis is:		S	1		0	0	0	0
A	1	relatively elastic.		1		
A	1	perfectly inelastic. 		0		
A	1	perfectly elastic		0		
A	1	 relatively inelastic		0		
Q	1	A greater burden of taxes on essential goods is borne by the		S	1		0	0	0	0
A	1	Middle income group		1		
A	1	Higher income group		0		
A	1	 Lower earning people		0		
A	1	People falling between the middle and higher income group (e) Top few richest people in an economy		0		
Q	1	A major factor affecting the value of money is the		S	1		0	0	0	0
A	1	Price level		1		
A	1	Banking		0		
A	1	 Transaction motive		0		
A	1	nature of money (e) Transferability		0		
Q	1	A major obstacle to economic development in many African countries		S	1		0	0	0	0
A	1	 Free trade		1		
A	1	A rise in industrial output		0		
A	1	Low farm		0		
A	1	Free interaction (e) Controlled international relations.		0		
Q	1	A nation's production possibilities curve is bowed out from the origin because:		S	1		0	0	0	0
A	1	resources are not equally efficient in producing every good.		1		
A	1	wants are virtually unlimited 		0		
A	1	the originator of the idea drew it this way and modem economists follow this		0		
A	1	 resources are scarce.		0		
Q	1	A person should consume more of something when its marginal:		S	1		0	0	0	0
A	1	benefit exceeds its marginal cost		1		
A	1	cost exceeds its marginal		0		
A	1	 cost equals its marginal benefit		0		
A	1	benefit is still positive		0		
Q	1	Allocative efficiency occurs only at that output where:		S	1		0	0	0	0
A	1	consumer surplus exceeds producer surplus by the greatest amount		1		
A	1	marginal benefit exceeds marginal cost the by the greatest amount. 		0		
A	1	 the areas of consumer and producer surplus are equal		0		
A	1	the combined amounts of consumer surplus and producer surplus are maximized.		0		
Q	1	An economic system can be defined as an		S	1		0	0	0	0
A	1	arrangement specifying how production and consumption are controlled in a society		1		
A	1	arrangement whereby goods are distributed in a society		0		
A	1	 arrangement whereby human wants are satisfied in a society.		0		
A	1	arrangement specifying how productive resources are distributed in a society		0		
Q	1	As it relates to international trade, dumping:		S	1		0	0	0	0
A	1	is the practice of selling goods in a foreign market at less than cost.		1		
A	1	is a form of price discrimination illegal under U.S. antitrust laws 		0		
A	1	 constitutes a general case for permanent tariffs.		0		
A	1	is defined as selling more goods than allowed by an import quota.		0		
Q	1	Assume a household would consume N100 worth of goods and services per week if its weekly income were zero and would spend an additional N80 per week for each 100 of additional income, if C represents consumption and Y income, the equation that summarizes this relationship is:		S	1		0	0	0	0
A	1	C = 80 + IY.		1		
A	1	C = 80 + 100Y. 		0		
A	1	C = 100 + 8Y.		0		
A	1	 C = 100 + 80Y.		0		
Q	1	Assuming the total population is 100 million, the civilian labor force is 50 million, and 47 million workers are employed, the unemployment rate is:		S	1		0	0	0	0
A	1	5.3%		1		
A	1	3%. 		0		
A	1	6%.		0		
A	1	 7 %		0		
Q	1	At price N50; there is an excess supply of		S	1		0	0	0	0
A	1	 80cg		1		
A	1	20kg 		0		
A	1	100kg		0		
A	1	40kg		0		
Q	1	Basic economic problems of society include the following except:		S	1		0	0	0	0
A	1	 Where to produce		1		
A	1	What to produce 		0		
A	1	How to produce		0		
A	1	For whom to produce		0		
Q	1	By using exchanges controls, a country tries to eliminate a balance of payments deficit by		S	1		0	0	0	0
A	1	Reducing the nation?s domestic price level		1		
A	1	limited her imports to its currency value of exports		0		
A	1	 limiting her exports to its currency value of imports		0		
A	1	Overvaluing, the country?s currency (e) Undervaluing, the country?s currency.		0		
Q	1	Cross elasticity of demand can be measured using one of the following formulae  &#x000A;		S	1		0	0	0	0
A	1	(% change in quantity demanded of commodity X)/(% change in price of commodity Y)		1		
A	1	(% change in quantity demanded)/(% change in sonsumers income)  &#x000A; 		0		
A	1	(% change in quantity demanded)/(% change in price)  &#x000A;		0		
A	1	 (% change in price of commodity Y)/(% change in quantity demanded of commodity X)  &#x000A;		0		
Q	1	Deflation is persistence fall in price in the general price level and is usually caused by		S	1		0	0	0	0
A	1	An increase in government spending		1		
A	1	A reduction in total demand 		0		
A	1	 an increase in money supply to banks		0		
A	1	An increase in aggregate demand (e) an increase in money supply relative to demand.		0		
Q	1	Demand for a factors of production is		S	1		0	0	0	0
A	1	 A derived demand		1		
A	1	An elasticity of demand (e) Cross elasticity of demand.		0	1	
Q	1	Excess demand arises at prices		S	1		0	0	0	0
A	1	N10 and N20 2		1		
A	1	N40		0		
A	1	N10		0		
Q	1	For a bicycle company, an economist predicted that, other things being equal, a rise in consumer incomes will increase the demand for bicycles. This prediction is based on the assumption that:		S	1		0	0	0	0
A	1	 there are few goods that are substitutes for bicycles		1		
A	1	there are many goods that are substitutes for bicycles. 		0		
A	1	there are many goods that are complementary to bicycles.		0		
A	1	bicycles are normal goods.		0		
Q	1	For two substitute goods, the cross elasticity of demand is		S	1		0	0	0	0
A	1	zero		1		
A	1	Greater than one but less than zero 		0		
A	1	 Negative		0		
A	1	positive (e) infinity		0		
Q	1	If a firm can sell 3,000 units of product A at $10 per unit and 5,000 at $8, then:		S	1		0	0	0	0
A	1	A is an inferior good.		1		
A	1	 the price elasticity of demand Is 2.25.		0		
A	1	the price elasticity of demand is 0.44. 		0		
A	1	A is a complementary good.		0		
Q	1	If a person receives a higher wage than would be necessary to induce him to work, he is said to be receiving		S	1		0	0	0	0
A	1	gain (e) moratorium		1		
A	1	rent 		0		
A	1	profit		0		
A	1	 interest		0		
Q	1	If actual reserves in the banking system are N40,000, excess reserves are N10,000, and checkable deposits are N240,000, then the legal reserve requirement is:		S	1		0	0	0	0
A	1	10%.		1		
A	1	12.5%.		0		
A	1	 20%.		0		
A	1	5%.		0		
Q	1	If an increase in income induces a reduction in the demand for beans, beans can be referred to as		S	1		0	0	0	0
A	1	An inferior good		1		
A	1	A normal good		0		
A	1	 A substitute		0		
A	1	A dash (e) A Geffen good.		0		
Q	1	If depreciation exceeds gross investment:		S	1		0	0	0	0
A	1	the economy?s stock of capital is growing		1		
A	1	the economy?s stock of capital may be either growing or 		0		
A	1	 net investment is zero.		0		
A	1	the economy?s stock of capital is shrinking.		0		
Q	1	If the equation relating consumption C to income (Y) is C= N7,500 + 0.2Y, then		S	1		0	0	0	0
A	1	consumption is inversely related to income		1		
A	1	consumption is the independent variable and income is the dependent variable		0		
A	1	 if income is N15,000, the consumption is N10,500		0		
A	1	if consumption is N300,000, then income is N10,000.		0		
Q	1	If the production possibilities, curve were a straight downsloping line, this would suggest that:		S	1		0	0	0	0
A	1	 both products are equally capable of satisfying consumer wants.		1		
A	1	it is possible to produce more of both products. 		0		
A	1	resources are perfectly shiftable between the production of these two goods		0		
A	1	the two products have identical prices.		0		
Q	1	In a capitalist society, production and consumption are, regulated by the		S	1		0	0	0	0
A	1	 Price system		1		
A	1	Demand for the commodity 		0		
A	1	The government		0		
A	1	Private individuals		0		
Q	1	In a sole proprietorship decisions are made by the		S	1		0	0	0	0
A	1	Government		1		
A	1	Board of directors		0		
A	1	 Management		0		
A	1	Shareholders (e) Owners		0		
Q	1	In Economics human wants are usually described as		S	1		0	0	0	0
A	1	Insatiable		1		
A	1	Many 		0		
A	1	 Limited		0		
A	1	Numerous		0		
Q	1	In economics, the pleasure, happiness, or satisfaction received from a product is called:		S	1		0	0	0	0
A	1	Utility		1		
A	1	Marginal cost. 		0		
